index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
0,HIGHWAY,9977,10206,104,-2,-2,1423,52,45,1
1,HIGHWAY,2776,2996,104,-2,2,537,27,31,1
2,HIGHWAY,9976,10205,104,2,-2,1423,45,52,1
3,HIGHWAY,1205,1519,104,2,2,314,26,23,1
4,HIGHWAY,19375,19588,104,-2,-2,2054,57,54,1
5,HIGHWAY,1417,1729,104,-2,-2,370,26,27,1
6,HIGHWAY,9975,10204,104,2,2,1423,52,45,1
7,HIGHWAY,5756,5976,104,-2,2,841,33,41,1
8,HIGHWAY,11384,11695,104,2,-2,1541,47,49,1
9,HIGHWAY,2652,2860,104,2,-2,549,25,35,1
10,HIGHWAY,9381,9674,104,-2,-2,1283,44,43,1
11,HIGHWAY,275,491,104,2,-2,121,16,14,1
12,HIGHWAY,315,626,104,-2,-2,163,17,18,1
13,HIGHWAY,1856,2167,104,-2,2,468,26,30,1
14,HIGHWAY,4854,5070,104,2,2,832,34,44,1
15,HIGHWAY,2633,2850,104,-2,2,471,27,29,1
16,HIGHWAY,9978,10207,104,2,-2,1423,45,52,1
17,HIGHWAY,11385,11696,104,2,2,1541,49,47,1
18,HIGHWAY,2777,2997,104,-2,-2,537,31,27,1
19,HIGHWAY,2653,2861,104,2,2,549,35,25,1
20,HIGHWAY,1618,1834,104,2,2,330,26,25,1
21,HIGHWAY,33098,33406,104,2,-2,2920,69,69,1
22,HIGHWAY,19373,19586,104,2,2,2054,57,54,1
23,HIGHWAY,855,1166,104,2,2,287,23,22,1
24,HIGHWAY,9979,10208,104,2,2,1423,52,45,1
25,HIGHWAY,9980,10209,104,-2,2,1423,45,52,1
26,HIGHWAY,11386,11697,104,-2,2,1541,47,49,1
27,HIGHWAY,9981,10210,104,-2,-2,1423,52,45,1
28,HIGHWAY,1241,1530,104,-2,-2,330,24,24,1
29,HIGHWAY,1209,1523,104,-2,-2,314,26,23,1
30,HIGHWAY,2472,2688,104,2,2,519,36,26,1
31,HIGHWAY,19379,19592,104,-2,-2,2054,57,54,1
32,HIGHWAY,2778,2998,104,-2,2,537,27,31,1
33,HIGHWAY,326,637,104,-2,2,167,18,18,1
34,HIGHWAY,19374,19587,104,2,-2,2054,54,57,1
35,HIGHWAY,294,605,104,-2,2,158,18,18,1
36,HIGHWAY,2644,2852,104,2,-2,549,25,35,1
37,HIGHWAY,2720,2928,104,2,-2,552,25,35,1
38,HIGHWAY,9974,10203,104,-2,2,1423,45,52,1
39,HIGHWAY,505,721,104,-2,2,161,18,18,1
40,HIGHWAY,21411,21627,104,-2,2,2514,60,62,1
41,HIGHWAY,4560,4871,104,2,-2,822,37,41,1
42,HIGHWAY,263,574,104,-2,-2,155,16,18,1
43,HIGHWAY,476,720,104,2,-2,169,19,19,1
44,HIGHWAY,41982,42293,104,-2,-2,3195,71,71,1
45,HIGHWAY,3240,3456,104,-2,-2,687,35,34,1
46,HIGHWAY,4103,4414,104,2,2,720,27,43,1
47,HIGHWAY,13922,14233,104,-2,2,1635,45,56,1
48,HIGHWAY,4107,4418,104,-2,-2,720,27,43,1
49,HIGHWAY,3518,3829,104,2,-2,605,32,32,1
50,HIGHWAY,2643,2851,104,2,2,549,35,25,1
51,HIGHWAY,3836,4056,104,2,-2,648,25,41,1
52,HIGHWAY,11670,11885,104,2,-2,1643,58,49,1
53,HIGHWAY,5537,5850,104,2,-2,900,31,45,1
54,HIGHWAY,9973,10202,104,-2,-2,1423,52,45,1
55,HIGHWAY,2772,2992,104,-2,2,537,27,31,1
56,HIGHWAY,2374,2585,104,2,2,477,30,27,1
57,HIGHWAY,674,985,104,-2,2,244,19,22,1
58,HIGHWAY,6767,7078,104,2,2,1176,44,49,1
59,HIGHWAY,2782,3002,104,-2,2,537,27,31,1
60,HIGHWAY,13069,13293,104,-2,-2,1379,55,40,1
61,HIGHWAY,354,562,104,-2,2,157,16,16,1
62,HIGHWAY,11380,11691,104,2,-2,1541,47,49,1
63,HIGHWAY,2648,2856,104,2,-2,549,25,35,1
64,HIGHWAY,671,982,104,-2,-2,244,22,19,1
65,HIGHWAY,1682,1993,104,-2,2,414,27,25,1
66,HIGHWAY,895,1206,104,-2,2,275,22,24,1
67,HIGHWAY,352,560,104,-2,2,151,16,16,1
68,HIGHWAY,316,525,104,2,-2,138,17,16,1
69,HIGHWAY,556,867,104,2,-2,199,20,18,1
70,HIGHWAY,2799,3111,104,-2,-2,594,30,35,1
71,HIGHWAY,1787,2011,104,2,2,411,25,31,1
72,HIGHWAY,260,571,104,-2,2,154,18,16,1
73,HIGHWAY,18636,18947,104,2,2,2295,68,59,1
74,HIGHWAY,2554,2762,104,-2,2,552,25,34,1
75,HIGHWAY,7634,7945,104,-2,-2,1159,44,48,1
76,HIGHWAY,312,521,104,2,-2,136,17,16,1
77,HIGHWAY,312,521,104,2,-2,136,17,16,1
78,HIGHWAY,3508,3724,104,2,2,630,34,37,1
79,HIGHWAY,1513,1729,104,2,-2,355,22,29,1
80,HIGHWAY,2779,2999,104,-2,-2,537,31,27,1
81,HIGHWAY,21412,21628,104,-2,-2,2514,62,60,1
82,HIGHWAY,327,638,104,-2,-2,167,18,18,1
83,HIGHWAY,4561,4872,104,2,2,822,41,37,1
