onset_step,count
128,1
133,1
144,1
148,2
149,1
152,3
153,2
155,1
160,7
165,3
166,1
168,2
172,3
173,16
174,1
175,2
177,19
178,5
179,2
180,2
181,9
182,5
185,14
186,7
187,2
188,3
189,18
190,4
191,1
192,1
193,9
194,4
196,4
197,12
198,4
200,3
201,22
202,3
203,1
204,2
205,13
206,3
207,1
208,3
209,11
210,4
211,2
212,3
213,11
214,6
217,30
218,3
219,1
220,13
221,27
222,10
224,6
225,30
226,8
227,2
228,9
229,33
230,14
231,1
232,5
233,15
234,11
235,1
236,4
237,35
238,13
239,1
240,13
241,32
242,3
243,4
244,3
245,34
246,14
247,4
248,9
249,30
250,14
251,3
252,2
253,39
254,42
255,3
256,2
257,37
258,29
259,10
260,12
261,32
262,40
263,6
264,3
265,51
266,136
267,12
268,10
269,40
270,62
271,4
272,13
273,40
274,107
275,14
276,8
277,34
278,61
279,7
280,9
281,26
282,63
283,6
284,11
285,32
286,44
287,5
288,6
289,37
290,39
291,7
292,6
293,37
294,38
295,7
296,14
297,34
298,42
299,10
300,13
301,26
302,27
303,9
304,10
305,19
306,27
307,5
308,15
309,33
310,50
311,9
312,12
313,40
314,63
315,5
316,8
317,31
318,38
319,8
320,10
321,34
322,53
323,6
324,12
325,37
326,38
327,10
328,14
329,34
330,43
331,7
332,8
333,42
334,44
335,13
336,11
337,42
338,53
339,11
340,18
341,26
342,43
343,9
344,10
345,39
346,68
347,7
348,12
349,47
350,54
351,11
352,21
353,41
354,57
355,10
356,14
357,40
358,51
359,9
360,8
361,35
362,42
363,4
364,9
365,25
366,33
367,5
368,12
369,36
370,27
371,11
372,18
373,34
374,36
375,15
376,9
377,27
378,34
379,12
380,10
381,28
382,39
383,6
384,14
385,35
386,37
387,4
388,10
389,29
390,31
391,9
392,6
393,37
394,37
395,8
396,10
397,24
398,36
399,10
400,9
401,26
402,37
403,5
404,9
405,26
406,25
407,10
408,6
409,37
410,30
411,8
412,10
413,33
414,33
415,9
416,10
417,35
418,25
419,10
420,16
421,43
422,19
423,13
424,7
425,25
426,27
427,9
428,13
429,27
430,30
431,10
432,4
433,40
434,31
435,11
436,9
437,30
438,26
439,14
440,6
441,30
442,38
443,7
444,11
445,19
446,23
447,7
448,8
449,34
450,26
451,13
452,11
453,32
454,27
455,9
456,7
457,36
458,29
459,13
460,12
461,25
462,27
463,12
464,13
465,22
466,16
467,15
468,10
469,17
470,28
471,11
472,15
473,20
474,13
475,15
476,9
477,27
478,19
479,4
480,14
481,25
482,26
483,7
484,8
485,23
486,12
487,20
488,10
489,18
490,19
491,7
492,19
493,16
494,13
495,12
496,9
497,15
498,22
499,12
500,6
501,19
502,26
503,15
504,11
505,23
506,23
507,9
508,6
509,29
510,20
511,13
512,9
513,29
514,10
515,9
516,14
517,45
518,19
519,11
520,15
521,31
522,29
523,14
524,15
525,36
526,24
527,13
528,13
529,25
530,32
531,7
532,5
533,24
534,20
535,12
536,15
537,33
538,25
539,9
540,17
541,28
542,14
543,20
544,22
545,34
546,17
547,14
548,29
549,36
550,33
551,16
552,17
553,37
554,15
555,13
556,24
557,27
558,17
559,14
560,16
561,26
562,16
563,8
564,14
565,27
566,23
567,16
568,15
569,17
570,13
571,15
572,16
573,29
574,18
575,11
576,16
577,34
578,27
579,5
580,16
581,25
582,15
583,17
584,14
585,23
586,14
587,14
588,12
589,27
590,14
591,13
592,12
593,26
594,17
595,15
596,18
597,22
598,21
599,12
600,7
601,27
602,12
603,13
604,15
605,27
606,12
607,12
608,9
609,28
610,17
611,3
612,12
613,23
614,21
615,16
616,16
617,29
618,15
619,12
620,24
621,21
622,11
623,15
624,14
625,22
626,9
627,12
628,14
629,25
630,21
631,9
632,6
633,20
634,12
635,12
636,17
637,18
638,13
639,11
640,6
641,16
642,14
643,14
644,10
645,23
646,9
647,6
648,12
649,19
650,15
651,15
652,13
