rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
R,CYCLE,-1,7,4,0,0,4,2,2,0
RR,CYCLE,-1,15,8,0,0,4,2,2,0
RL,HIGHWAY,9977,11264,104,-2,-2,1648,73,45,1
RRR,CYCLE,-1,27,12,0,0,4,2,2,0
RRL,HIGHWAY,39,1024,18,1,-1,286,58,59,1
RLR,TIMEOUT,-1,20000000,-1,0,0,244831,630,624,0
RLL,TIMEOUT,-1,20000000,-1,0,0,187306,498,502,0
RRRR,CYCLE,-1,31,16,0,0,4,2,2,0
RRRL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRLR,OOB,-1,349235,-1,0,0,18886,979,1075,0
RRLL,TIMEOUT,-1,20000000,-1,0,0,39030,200,238,0
RLRR,TIMEOUT,-1,20000000,-1,0,0,180649,483,493,0
RLRL,HIGHWAY,10077,11264,104,-2,-2,1648,73,45,1
RLLR,TIMEOUT,-1,20000000,-1,0,0,421690,600,706,0
RLLL,TIMEOUT,-1,20000000,-1,0,0,144878,433,424,0
RRRRR,CYCLE,-1,51,20,0,0,4,2,2,0
RRRRL,HIGHWAY,103,4096,68,2,-2,606,122,123,1
RRRLR,TIMEOUT,-1,20000000,-1,0,0,156305,494,448,0
RRRLL,TIMEOUT,-1,20000000,-1,0,0,1120,36,37,0
RRLRR,TIMEOUT,-1,20000000,-1,0,0,3339006,1829,1828,0
RRLRL,TIMEOUT,-1,20000000,-1,0,0,148070,504,435,0
RRLLR,TIMEOUT,-1,20000000,-1,0,0,1236,39,39,0
RRLLL,TIMEOUT,-1,20000000,-1,0,0,1738,45,45,0
RLRRR,TIMEOUT,-1,20000000,-1,0,0,150157,437,422,0
RLRRL,TIMEOUT,-1,20000000,-1,0,0,236631,612,561,0
RLRLR,TIMEOUT,-1,20000000,-1,0,0,168873,477,462,0
RLRLL,TIMEOUT,-1,20000000,-1,0,0,244255,572,606,0
RLLRR,TIMEOUT,-1,20000000,-1,0,0,1768,44,46,0
RLLRL,TIMEOUT,-1,20000000,-1,0,0,198827,613,521,0
RLLLR,TIMEOUT,-1,20000000,-1,0,0,1476,40,38,0
RLLLL,TIMEOUT,-1,20000000,-1,0,0,134132,401,416,0
RRRRRR,CYCLE,-1,55,24,0,0,4,2,2,0
RRRRRL,HIGHWAY,127,2048,84,2,-2,247,50,51,1
RRRRLR,TIMEOUT,-1,20000000,-1,0,0,140328,423,481,0
RRRRLL,TIMEOUT,-1,20000000,-1,0,0,686,27,30,0
RRRLRR,TIMEOUT,-1,20000000,-1,0,0,144141,437,452,0
RRRLRL,TIMEOUT,-1,20000000,-1,0,0,109155,417,377,0
RRRLLR,TIMEOUT,-1,20000000,-1,0,0,722,28,30,0
RRRLLL,HIGHWAY,99,1024,38,-1,1,198,30,30,1
RRLRRR,TIMEOUT,-1,20000000,-1,0,0,135378,439,398,0
RRLRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLR,TIMEOUT,-1,20000000,-1,0,0,130968,403,440,0
RRLRLL,TIMEOUT,-1,20000000,-1,0,0,157999,437,481,0
RRLLRR,TIMEOUT,-1,20000000,-1,0,0,790,29,32,0
RRLLRL,TIMEOUT,-1,20000000,-1,0,0,113103,378,408,0
RRLLLR,TIMEOUT,-1,20000000,-1,0,0,135483,464,419,0
RRLLLL,TIMEOUT,-1,20000000,-1,0,0,1506,38,40,0
RLRRRR,TIMEOUT,-1,20000000,-1,0,0,129488,407,398,0
RLRRRL,OOB,-1,16636694,-1,0,0,4165676,2042,2042,0
RLRRLR,TIMEOUT,-1,20000000,-1,0,0,244831,630,624,0
RLRRLL,TIMEOUT,-1,20000000,-1,0,0,188386,568,486,0
RLRLRR,TIMEOUT,-1,20000000,-1,0,0,183753,495,531,0
RLRLRL,HIGHWAY,10077,11264,104,-2,-2,1648,73,45,1
RLRLLR,TIMEOUT,-1,20000000,-1,0,0,137639,453,432,0
RLRLLL,TIMEOUT,-1,20000000,-1,0,0,121835,420,403,0
RLLRRR,TIMEOUT,-1,20000000,-1,0,0,1856,40,48,0
RLLRRL,TIMEOUT,-1,20000000,-1,0,0,233422,596,584,0
RLLRLR,TIMEOUT,-1,20000000,-1,0,0,170811,489,477,0
RLLRLL,TIMEOUT,-1,20000000,-1,0,0,187306,498,502,0
RLLLRR,TIMEOUT,-1,20000000,-1,0,0,176496,426,422,0
RLLLRL,TIMEOUT,-1,20000000,-1,0,0,202626,452,462,0
RLLLLR,TIMEOUT,-1,20000000,-1,0,0,1296,36,36,0
RLLLLL,TIMEOUT,-1,20000000,-1,0,0,113955,369,384,0
RRRRRRR,CYCLE,-1,59,28,0,0,4,2,2,0
RRRRRRL,HIGHWAY,151,1024,100,2,-2,107,22,23,1
